"eth.mpao","region","regionid","agegrp","agegrpid","sex","popyear","popcount","type","dateload","daterecd"
"Asian","AllRegion",9,"<5",1,"AllSex",2023,63780,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"5-9",2,"AllSex",2023,65910,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"10-14",3,"AllSex",2023,58790,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"15-19",4,"AllSex",2023,53340,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"20-24",5,"AllSex",2023,60990,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"25-29",6,"AllSex",2023,84460,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"30-34",7,"AllSex",2023,109020,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"35-39",8,"AllSex",2023,102900,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"40-44",9,"AllSex",2023,83870,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"45-49",10,"AllSex",2023,57720,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"50-54",11,"AllSex",2023,48690,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"55-59",12,"AllSex",2023,41080,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"60-64",13,"AllSex",2023,36030,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"65-69",14,"AllSex",2023,30980,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"70-74",15,"AllSex",2023,21060,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"75-79",16,"AllSex",2023,12340,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"80-84",17,"AllSex",2023,7530,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"85+",18,"AllSex",2023,6300,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Asian","AllRegion",9,"AllAge",19,"AllSex",2023,944800,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"<5",1,"AllSex",2023,124550,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"5-9",2,"AllSex",2023,136540,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"10-14",3,"AllSex",2023,158480,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"15-19",4,"AllSex",2023,163220,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"20-24",5,"AllSex",2023,164240,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"25-29",6,"AllSex",2023,177560,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"30-34",7,"AllSex",2023,196360,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"35-39",8,"AllSex",2023,184360,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"40-44",9,"AllSex",2023,177650,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"45-49",10,"AllSex",2023,191120,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"50-54",11,"AllSex",2023,221880,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"55-59",12,"AllSex",2023,219000,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"60-64",13,"AllSex",2023,223990,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"65-69",14,"AllSex",2023,195310,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"70-74",15,"AllSex",2023,176180,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"75-79",16,"AllSex",2023,144010,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"80-84",17,"AllSex",2023,94480,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"85+",18,"AllSex",2023,81500,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Other","AllRegion",9,"AllAge",19,"AllSex",2023,3030500,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"<5",1,"AllSex",2023,86210,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"5-9",2,"AllSex",2023,86220,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"10-14",3,"AllSex",2023,93030,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"15-19",4,"AllSex",2023,84860,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"20-24",5,"AllSex",2023,74930,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"25-29",6,"AllSex",2023,68770,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"30-34",7,"AllSex",2023,65640,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"35-39",8,"AllSex",2023,53110,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"40-44",9,"AllSex",2023,47040,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"45-49",10,"AllSex",2023,46600,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"50-54",11,"AllSex",2023,48200,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"55-59",12,"AllSex",2023,42580,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"60-64",13,"AllSex",2023,38400,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"65-69",14,"AllSex",2023,27050,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"70-74",15,"AllSex",2023,18540,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"75-79",16,"AllSex",2023,10610,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"80-84",17,"AllSex",2023,6040,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"85+",18,"AllSex",2023,3700,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Maori","AllRegion",9,"AllAge",19,"AllSex",2023,901500,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"<5",1,"AllSex",2023,28560,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"5-9",2,"AllSex",2023,30430,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"10-14",3,"AllSex",2023,34130,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"15-19",4,"AllSex",2023,33380,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"20-24",5,"AllSex",2023,35060,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"25-29",6,"AllSex",2023,32900,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"30-34",7,"AllSex",2023,30020,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"35-39",8,"AllSex",2023,24280,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"40-44",9,"AllSex",2023,21420,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"45-49",10,"AllSex",2023,20290,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"50-54",11,"AllSex",2023,19870,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"55-59",12,"AllSex",2023,18380,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"60-64",13,"AllSex",2023,14290,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"65-69",14,"AllSex",2023,10450,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"70-74",15,"AllSex",2023,7380,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"75-79",16,"AllSex",2023,4580,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"80-84",17,"AllSex",2023,2660,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"85+",18,"AllSex",2023,1800,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
"Pacific","AllRegion",9,"AllAge",19,"AllSex",2023,369900,"Projections (as at 30 Jun)",2025-04-14,2025-01-20
