age,Other,Maori,Pacific,Asian
0-4,124550,86210,28560,63780
5-9,136540,86220,30430,65910
10-14,158480,93030,34130,58790
15-19,163220,84860,33380,53340
20-24,164240,74930,35060,60990
25-29,177560,68770,32900,84460
30-34,196360,65640,30020,109020
35-39,184360,53110,24280,102900
40-44,177650,47040,21420,83870
45-49,191120,46600,20290,57720
50-54,221880,48200,19870,48690
55-59,219000,42580,18380,41080
60-64,223990,38400,14290,36030
65-69,195310,27050,10450,30980
70-74,176180,18540,7380,21060
75-79,144010,10610,4580,12340
80-84,94480,6040,2660,7530
85+,81500,3700,1800,6300
